tx_price,tx_size,tx_direction
34.61,100,-1.0
34.61,500,-1.0
34.61,100,-1.0
34.61,100,-1.0
34.61,100,-1.0
34.61,200,-1.0
34.61,100,
34.61,200,-1.0
34.61,200,-1.0
34.61,100,-1.0
34.61,270,
34.61,900,
34.61,100,
34.61,100,-1.0
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.61,200,1.0
34.61,100,1.0
34.61,100,
34.62,4,-1.0
34.62,196,
34.62,200,
34.62,100,
34.62,200,
34.62,100,
34.62,100,
34.62,200,
34.62,100,
34.62,100,1.0
34.62,100,1.0
34.626,2,
34.62,100,
34.63,100,-1.0
34.62,100,
34.6,100,1.0
34.62,400,
34.63,4,
34.63,96,
34.63,4,-1.0
34.62,100,1.0
34.625,100,
34.62,100,1.0
34.62,100,
34.62,100,
34.62,100,
34.62,300,
34.62,100,
34.62,200,
34.62,100,
34.62,100,
34.62,100,
34.62,100,
34.62,100,
34.62,100,
34.62,100,
34.62,200,
34.62,100,
34.62,11,
34.62,100,-1.0
34.61,200,
34.6152,118,
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.61,7,1.0
34.61,10,1.0
34.61,289,1.0
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.61,11,1.0
34.61,100,1.0
34.61,100,1.0
34.61,300,
34.61,200,1.0
34.61,100,1.0
34.61,100,
34.61,100,1.0
34.61,100,
34.61,100,
34.6,200,
34.6,200,1.0
34.6,200,
34.6,100,
34.6,200,1.0
34.6,100,1.0
34.6,200,1.0
34.6,300,1.0
34.6,100,1.0
34.6,200,-1.0
34.6,100,-1.0
34.6,100,-1.0
34.6,100,-1.0
34.6,100,-1.0
34.6,150,-1.0
34.59,100,1.0
34.59,100,1.0
34.59,10,1.0
34.59,100,1.0
34.59,100,1.0
34.59,200,1.0
34.595,100,
34.599000000000004,100,
34.6,200,-1.0
34.6,200,-1.0
34.6,200,-1.0
34.6,600,-1.0
34.59,100,1.0
34.59,200,
34.59,300,-1.0
34.59,300,-1.0
34.59,100,
34.59,200,
34.59,200,
34.59,100,
34.59,100,
34.59,200,
34.59,100,-1.0
34.6,100,-1.0
34.58,100,1.0
34.58,5,1.0
34.58,100,
34.58,200,1.0
34.58,100,
34.58,100,
34.58,100,
34.58,200,1.0
34.58,100,1.0
34.58,100,1.0
34.58,100,
34.58,300,1.0
34.58,100,
34.58,100,
34.58,100,
34.58,300,1.0
34.59,1,-1.0
34.5898,3425,
34.58,100,
34.58,100,
34.58,200,
34.58,100,
34.58,1600,
34.57,100,1.0
34.57,200,1.0
34.57,200,1.0
34.57,400,1.0
34.57,200,1.0
34.57,100,
34.57,200,
34.57,100,
34.575,100,
34.57,100,
34.5707,35,
34.57,100,
34.57,100,
34.57,100,
34.57,100,
34.57,100,1.0
34.58,1,-1.0
34.5701,100,
34.57,100,1.0
34.57,10,1.0
34.575,100,
34.57,90,1.0
34.57,10,1.0
34.57,300,1.0
34.5701,5,
34.57,200,1.0
34.57,90,
34.57,200,-1.0
34.57,100,
34.57,200,
34.57,100,-1.0
34.57,100,-1.0
34.56,100,
34.56,200,1.0
34.56,200,
34.56,100,
34.56,100,-1.0
34.56,200,-1.0
34.56,200,-1.0
34.55,100,1.0
34.55,100,1.0
34.55,200,1.0
34.55,200,1.0
34.56,100,-1.0
34.55,200,1.0
34.55,100,1.0
34.55,100,1.0
34.56,100,-1.0
34.56,100,-1.0
34.55,100,1.0
34.55,100,1.0
34.56,100,
34.56,200,
34.56,200,-1.0
34.56,100,-1.0
34.56,200,-1.0
34.555,300,
34.56,200,
34.555,100,
34.56,100,
34.56,74,
34.56,200,
34.56,100,
34.56,100,1.0
34.56,100,
34.56,300,
34.56,200,-1.0
34.56,100,
34.56,100,-1.0
34.56,100,-1.0
34.56,200,-1.0
34.55,100,1.0
34.55,900,1.0
34.55,100,1.0
34.56,200,1.0
34.57,100,-1.0
34.57,698,-1.0
34.57,200,-1.0
34.57,200,-1.0
34.57,268,-1.0
34.57,100,-1.0
